ticker,as_of,current_revenue_ttm,current_market_cap,current_ps,hist_median_ps,hist_p75_ps,hist_p90_ps,forward_revenue_estimate,forward_revenue_growth,forward_ps,required_revenue,required_growth,growth_gap,years_to_normalise,expectations_burden_score,expectations_classification,plain_explanation,target_multiple_value,target_multiple_label,valuation_anchor_confidence,valuation_anchor_observation_count,revenue_data_cadence,gross_margin,operating_margin,net_margin,net_debt_to_ebitda,interest_coverage,free_cash_flow_ttm,fcf_margin,cash_conversion,quality_flag,revenue_currency,price_currency,fx_rate_applied,currency_note,revenue_cagr_3y,revenue_cagr_5y,roic,share_count_cagr_3y,buybacks_ttm,dividends_ttm,acquisitions_ttm,price_return_6m,benchmark_symbol,benchmark_return_6m,relative_strength_6m,eps_revisions_up_30d,eps_revisions_down_30d,section,section_target_pct,layer,portfolio_weight,thesis
TPL,2026-07-28T11:30:02.963670+00:00,839025000.0,27356639232.0,32.60527306337713,31.053553104474886,33.758902916131184,35.382112803124954,1094000000.0,0.30389440123953393,25.006068767824498,880950374.3408302,0.0499691598472396,-0.25392524139229433,0.1837564923891827,0.0,Forward Expectations Manageable,Needs 5% growth to look fairly valued by its own history; analysts expect 30% -- the bar is comfortably cleared if the forecast is anywhere close to right.,31.053553104474886,Historical Median Tactical Anchor,low,2,quarterly,0.8553988260182951,0.7442162033312476,0.6002514823753762,-0.32631309169920736,629.4516129032259,42581000.0,0.05075057358243199,0.0845488517272738,Solid,USD,USD,1.0,,0.061455817167499704,,0.35109080247541224,-0.001556352156222407,8280000.0,152160000.0,47161000.0,0.15203220899681957,^GSPC,0.06227324564291248,0.0897589633539071,0.0,2.0,INFRA,0.14,Layer 1: Hard Assets,0.009333333333333334,"Landowners, royalty engines, maritime ports, and Class I transcontinental freight rail networks."
CNI,2026-07-28T11:30:02.963670+00:00,17761000000.0,77959512064.0,4.389365016834637,3.8835810269316093,4.011821551222501,4.088765865797035,19120880420.0,0.0765655323461516,4.077192595297869,20074130428.42968,0.13023649729349018,0.053670964947338584,1.6594427398834468,41.2103873051731,Forward Expectations Elevated,"⚠ Revenue reported in CAD but priced in USD, and no FX rate could be resolved -- P/S and margin figures for this ticker are UNRELIABLE, treat with caution. Needs 13% growth to look fairly valued; analysts expect 8% -- covers part of what's required, but the price still leans on the forecast coming through.",3.8835810269316093,Historical Median Tactical Anchor,low,2,quarterly,0.4201903045999662,0.37548561454873036,0.26924159675693937,2.4175776599199046,7.125,3548000000.0,0.19976352682844434,0.7419489753241322,Solid,CAD,USD,,"Revenue reported in CAD but priced in USD, and no FX rate could be resolved -- P/S and margin figures for this ticker are UNRELIABLE, treat with caution.",0.003823943413180375,,0.11583701500423964,-0.029519815063615895,3007000000.0,2207000000.0,,0.2869564899402528,^GSPC,0.06227324564291248,0.22468324429734032,7.0,1.0,INFRA,0.14,Layer 1: Hard Assets,0.009333333333333334,"Landowners, royalty engines, maritime ports, and Class I transcontinental freight rail networks."
CP,2026-07-28T11:30:02.963670+00:00,14984000000.0,81139105792.0,5.415049772557395,4.4655763547087215,4.567021940149707,4.627889291414298,17153082920.0,0.14475993860117464,4.730292867493466,18169906714.604256,0.21262057625495556,0.06786063765378092,1.4259687726869605,31.916307842383283,Forward Expectations Elevated,"⚠ Revenue reported in CAD but priced in USD, and no FX rate could be resolved -- P/S and margin figures for this ticker are UNRELIABLE, treat with caution. Needs 21% growth to look fairly valued; analysts expect 14% -- covers part of what's required, but the price still leans on the forecast coming through.",4.4655763547087215,Historical Median Tactical Anchor,low,2,quarterly,0.3703950880939669,0.3703950880939669,0.27209022957821677,2.8753006253006252,6.25,2043000000.0,0.1363454351308062,0.5011037527593819,Solid,CAD,USD,,"Revenue reported in CAD but priced in USD, and no FX rate could be resolved -- P/S and margin figures for this ticker are UNRELIABLE, treat with caution.",0.19597902823791657,,0.06108788661659565,-0.011927477351666882,4275000000.0,823000000.0,493000000.0,0.26172399375245536,^GSPC,0.06227324564291248,0.19945074810954289,5.0,3.0,INFRA,0.14,Layer 1: Hard Assets,0.009333333333333334,"Landowners, royalty engines, maritime ports, and Class I transcontinental freight rail networks."
UNP,2026-07-28T11:30:02.963670+00:00,25410000000.0,177806802944.0,6.997512906099961,6.227073457751811,6.412982012435528,6.5245271452457585,27853023060.0,0.09614415820543099,6.383752404935538,28553830968.969234,0.12372416249386986,0.027580004288438875,1.2706966463990899,22.291526353880453,Forward Expectations Manageable,Needs 12% growth to look fairly valued by its own history; analysts expect 10% -- the bar is comfortably cleared if the forecast is anywhere close to right.,6.227073457751811,Historical Median Tactical Anchor,low,2,quarterly,0.45623770169224714,0.4002754820936639,0.28846910665092484,2.2208446047490233,7.915175097276265,6504000000.0,0.25596221959858323,0.8873124147339699,Solid,USD,USD,1.0,,-0.004915242301498868,,0.15328045760525547,-0.010532738186148416,26000000.0,3277000000.0,,0.26213439302843544,^GSPC,0.06227324564291248,0.19986114738552296,5.0,0.0,INFRA,0.14,Layer 1: Hard Assets,0.009333333333333334,"Landowners, royalty engines, maritime ports, and Class I transcontinental freight rail networks."
LIN,2026-07-28T11:30:02.963670+00:00,34655000000.0,234419322880.0,6.764372323762805,6.268973318862954,6.476619897148387,6.601207844119647,37783698820.0,0.09028131063338618,6.204244957508371,37393574825.82462,0.07902394534193102,-0.011257365291455157,0.8799238929334237,0.0,Forward Expectations Manageable,Needs 8% growth to look fairly valued by its own history; analysts expect 9% -- the bar is comfortably cleared if the forecast is anywhere close to right.,6.268973318862954,Historical Median Tactical Anchor,low,2,quarterly,0.487664117731929,0.2715048333573799,0.20435723560813734,1.6662691906394396,20.19098712446352,5096000000.0,0.14704948780839705,0.7195707427280429,Solid,USD,USD,1.0,,0.006176060609136114,,0.1172938981761858,-0.019870503295648434,4297000000.0,2844000000.0,312000000.0,0.1264854931870265,^GSPC,0.06227324564291248,0.06421224754411403,1.0,1.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
ABBN.SW,2026-07-28T11:30:02.963670+00:00,35556000000.0,141515489280.0,3.9800733850826866,4.015241562192769,4.237543913554125,4.37092532437094,41644257750.0,0.17123010884238954,3.398199341900865,35244576717.998695,-0.008758670322907669,-0.1799887791652972,0.0,0.0,Forward Expectations Manageable,"⚠ Revenue reported in USD but priced in CHF, and no FX rate could be resolved -- P/S and margin figures for this ticker are UNRELIABLE, treat with caution. Already trades at or below its historical valuation norm (needs 0% growth) -- 17% forecast growth would be upside on top of an already-fair price.",4.015241562192769,Historical Median Tactical Anchor,low,2,quarterly,0.40086061424232194,0.16931038362020476,0.1400326245921926,0.687038280725319,105.6140350877193,4159000000.0,0.11697041286983913,0.8353082948383209,Solid,USD,CHF,,"Revenue reported in USD but priced in CHF, and no FX rate could be resolved -- P/S and margin figures for this ticker are UNRELIABLE, treat with caution.",0.04101688440859852,,0.208535889357564,-0.008446808143657059,1317000000.0,4068000000.0,306000000.0,0.20376666913206742,^SSMI,0.11231277810674434,0.09145389102532309,2.0,5.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
GEV,2026-07-28T11:30:02.963670+00:00,41367000000.0,265420062720.0,6.416227009935456,6.62077488326203,6.89366116761476,7.057392938226398,52498702310.0,0.26909619527642814,5.055745209714308,40088972574.94859,-0.030894853991138005,-0.29999104926756615,0.0,0.0,Forward Expectations Manageable,Already trades at or below its historical valuation norm (needs 0% growth) -- 27% forecast growth would be upside on top of an already-fair price.,6.62077488326203,Historical Median Tactical Anchor,low,2,quarterly,0.20214180385331304,0.04358546667633621,0.23035269659390337,-3.4362728785357737,,12438000000.0,0.3006744506490681,1.305278623150383,Solid,USD,USD,1.0,,0.08682326316822997,,0.39663049685893775,-0.005571909894025007,5406000000.0,409000000.0,3813000000.0,0.12965555260285044,^GSPC,0.06227324564291248,0.06738230695993797,1.0,0.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
ETN,2026-07-28T11:30:02.963670+00:00,28522000000.0,154791919616.0,5.427106080078536,4.717360845894316,4.809923612697408,4.865461272779264,35628454820.0,0.24915696024121736,4.344615010615271,32813245514.326263,0.15045387821072387,-0.0987030820304935,0.6300051210353204,0.0,Forward Expectations Manageable,Needs 15% growth to look fairly valued by its own history; analysts expect 25% -- the bar is comfortably cleared if the forecast is anywhere close to right.,4.717360845894316,Historical Median Tactical Anchor,low,2,quarterly,0.3689082112053853,0.18164925320804992,0.13989201318280625,3.417644223043548,16.5,3776000000.0,0.13238903302713695,0.9463659147869674,Watch: high leverage,USD,USD,1.0,,0.09769979247934413,,0.14729047965229802,-0.008365410904862536,1247000000.0,1644000000.0,12585000000.0,0.17526344746053524,^GSPC,0.06227324564291248,0.11299020181762276,3.0,1.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
NVT,2026-07-28T11:30:02.963670+00:00,4325800000.0,24143245312.0,5.581220886772389,4.402784325126827,4.405358946788944,4.4069037197862135,5782318790.0,0.3367050695825049,4.17535701313348,5483631159.085796,0.2676571175472273,-0.06904795203527758,0.817243724543713,0.0,Forward Expectations Manageable,Needs 27% growth to look fairly valued by its own history; analysts expect 34% -- the bar is comfortably cleared if the forecast is anywhere close to right.,4.402784325126827,Historical Median Tactical Anchor,low,2,quarterly,0.37010495168523744,0.1577742845254057,0.11371307041472098,1.6488733318748632,9.087882822902797,381900000.0,0.08828424800036988,0.7763773124618825,Solid,USD,USD,1.0,,0.1926087246007977,,0.09262949086843608,-0.007348762570890122,256900000.0,131200000.0,979500000.0,0.3229755205009526,^GSPC,0.06227324564291248,0.2607022748580401,2.0,0.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
CEG,2026-07-28T11:30:02.963670+00:00,29867000000.0,96417546240.0,3.2282300277898686,4.10335451881245,4.526588295898581,4.780528562150259,35604052210.0,0.19208665784980083,2.7080497936389247,23497249822.787468,-0.21327050514656753,-0.40535716299636837,0.0,0.0,Forward Expectations Manageable,Already trades at or below its historical valuation norm (needs 0% growth) -- 19% forecast growth would be upside on top of an already-fair price.,4.10335451881245,Historical Median Tactical Anchor,low,2,quarterly,0.22847959286168681,0.16851374426624702,0.12692938694880637,2.631924198250729,8.14401294498382,1137000000.0,0.03806877155388891,0.2999208652070694,Solid,USD,USD,1.0,,0.01469039149633189,,0.13986001715566546,-0.015225459740157432,400000000.0,519000000.0,2537000000.0,-0.062259731719896405,^GSPC,0.06227324564291248,-0.12453297736280888,2.0,2.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
