ticker,as_of,current_revenue_ttm,current_market_cap,current_ps,hist_median_ps,hist_p75_ps,hist_p90_ps,forward_revenue_estimate,forward_revenue_growth,forward_ps,required_revenue,required_growth,growth_gap,years_to_normalise,expectations_burden_score,expectations_classification,plain_explanation,target_multiple_value,target_multiple_label,valuation_anchor_confidence,valuation_anchor_observation_count,revenue_data_cadence,gross_margin,operating_margin,net_margin,net_debt_to_ebitda,interest_coverage,free_cash_flow_ttm,fcf_margin,cash_conversion,quality_flag,revenue_currency,price_currency,fx_rate_applied,currency_note,revenue_cagr_3y,revenue_cagr_5y,roic,share_count_cagr_3y,buybacks_ttm,dividends_ttm,acquisitions_ttm,price_return_6m,benchmark_symbol,benchmark_return_6m,relative_strength_6m,eps_revisions_up_30d,eps_revisions_down_30d,section,section_target_pct,layer,portfolio_weight,thesis
TPL,2026-07-27T05:19:49.487724+00:00,839025000.0,28930635776.0,34.48125595304073,31.053553104474886,33.758902916131184,35.382112803124954,1094000000.0,0.30389440123953393,26.444822464351006,931636894.4535055,0.11038037538035872,-0.1935140258591752,0.39457499543979735,0.0,Forward Expectations Manageable,Needs 11% growth to look fairly valued by its own history; analysts expect 30% -- the bar is comfortably cleared if the forecast is anywhere close to right.,31.053553104474886,Historical Median Tactical Anchor,low,2,quarterly,0.8553988260182951,0.7442162033312476,0.6002514823753762,-0.32631309169920736,629.4516129032259,42581000.0,0.05075057358243199,0.0845488517272738,Solid,USD,USD,1.0,,0.061455817167499704,,0.35109080247541224,-0.001556352156222407,8280000.0,152160000.0,47161000.0,,^GSPC,,,0.0,2.0,INFRA,0.14,Layer 1: Hard Assets,0.009333333333333334,"Landowners, royalty engines, maritime ports, and Class I transcontinental freight rail networks."
ICTEF,2026-07-27T05:19:49.487724+00:00,3540712121.0,33721356288.0,9.523890995824905,6.524149604393112,6.524149604393112,6.524149604393112,4253321420.0,0.2012615752558664,7.928240769539585,5168697582.485437,0.4597904053904407,0.2585288301345743,2.0629769700538003,56.227539136019836,Forward Expectations Elevated,"Needs 46% growth to look fairly valued; analysts expect 20% -- covers part of what's required, but the price still leans on the forecast coming through.",6.524149604393112,Historical Median Tactical Anchor,low,1,quarterly,0.5811842947623812,0.5183014196821227,0.30332534199269345,1.8627140115383574,5.0759304806596806,1413886969.0,0.3993227691723995,1.3164833724378309,Solid,USD,USD,1.0,,0.14110646118049797,,0.2325295357765445,-0.001893691143955878,64489532.0,1183631913.0,72520118.0,-4.063313723485312,^GSPC,,,,,INFRA,0.14,Layer 1: Hard Assets,0.009333333333333334,"Landowners, royalty engines, maritime ports, and Class I transcontinental freight rail networks."
CNI,2026-07-27T05:19:49.487724+00:00,17280000000.0,78322442240.0,4.532548740740741,3.5294937287136836,3.5782968535317554,3.6075787284225984,19120880420.0,0.106532431712963,4.0961734250519415,22190843293.70503,0.2841923202375596,0.17765988852459658,2.470878545729799,62.51396532323206,Forward Expectations Stretched,"⚠ Revenue reported in CAD but priced in USD, and no FX rate could be resolved -- P/S and margin figures for this ticker are UNRELIABLE, treat with caution. Needs 28% growth to look fairly valued by its own history, but analysts only expect 11% -- the price is asking for more growth than is currently forecast.",3.5294937287136836,Historical Median Tactical Anchor,low,2,quarterly,0.4234953703703704,0.37766203703703705,0.2722800925925926,2.4110537303593014,7.1400437636761485,3572000000.0,0.20671296296296296,0.759192348565356,Solid,CAD,USD,,"Revenue reported in CAD but priced in USD, and no FX rate could be resolved -- P/S and margin figures for this ticker are UNRELIABLE, treat with caution.",0.003823943413180375,,0.11583701500423964,-0.029519815063615895,2846000000.0,2209000000.0,,,^GSPC,,,7.0,1.0,INFRA,0.14,Layer 1: Hard Assets,0.009333333333333334,"Landowners, royalty engines, maritime ports, and Class I transcontinental freight rail networks."
CP,2026-07-27T05:19:49.487724+00:00,14984000000.0,81991335936.0,5.471925783235451,4.4655763547087215,4.567021940149707,4.627889291414298,17153082920.0,0.14475993860117464,4.779976655998116,18360751093.091118,0.225357120467907,0.08059718186673237,1.503253796004706,35.76420469847553,Forward Expectations Elevated,"⚠ Revenue reported in CAD but priced in USD, and no FX rate could be resolved -- P/S and margin figures for this ticker are UNRELIABLE, treat with caution. Needs 23% growth to look fairly valued; analysts expect 14% -- covers part of what's required, but the price still leans on the forecast coming through.",4.4655763547087215,Historical Median Tactical Anchor,low,2,quarterly,0.3703950880939669,0.3703950880939669,0.27209022957821677,2.8753006253006252,6.25,2043000000.0,0.1363454351308062,0.5011037527593819,Solid,CAD,USD,,"Revenue reported in CAD but priced in USD, and no FX rate could be resolved -- P/S and margin figures for this ticker are UNRELIABLE, treat with caution.",0.19597902823791657,,0.06108788661659565,-0.011927477351666882,4275000000.0,823000000.0,493000000.0,,^GSPC,,,5.0,3.0,INFRA,0.14,Layer 1: Hard Assets,0.009333333333333334,"Landowners, royalty engines, maritime ports, and Class I transcontinental freight rail networks."
UNP,2026-07-27T05:19:49.487724+00:00,25410000000.0,182571286528.0,7.185017179378198,6.227073457751811,6.412982012435528,6.5245271452457585,27853023060.0,0.09614415820543099,6.554810446776688,29318955006.179504,0.15383530130576561,0.05769114310033463,1.55875214770578,37.50188845515162,Forward Expectations Elevated,"Needs 15% growth to look fairly valued; analysts expect 10% -- covers part of what's required, but the price still leans on the forecast coming through.",6.227073457751811,Historical Median Tactical Anchor,low,2,quarterly,0.45623770169224714,0.4002754820936639,0.28846910665092484,2.2208446047490233,7.915175097276265,6504000000.0,0.25596221959858323,0.8873124147339699,Solid,USD,USD,1.0,,-0.004915242301498868,,0.15328045760525547,-0.010532738186148416,26000000.0,3277000000.0,,,^GSPC,,,5.0,0.0,INFRA,0.14,Layer 1: Hard Assets,0.009333333333333334,"Landowners, royalty engines, maritime ports, and Class I transcontinental freight rail networks."
LIN,2026-07-27T05:19:49.487724+00:00,34655000000.0,236851281920.0,6.834548605396047,6.268973318862954,6.476619897148387,6.601207844119647,37783698820.0,0.09028131063338618,6.268610255664747,37781510603.55116,0.09021816775504732,-6.314287833886212e-05,0.9993299534140314,0.0,Forward Expectations Manageable,Needs 9% growth to look fairly valued by its own history; analysts expect 9% -- the bar is comfortably cleared if the forecast is anywhere close to right.,6.268973318862954,Historical Median Tactical Anchor,low,2,quarterly,0.487664117731929,0.2715048333573799,0.20435723560813734,1.6662691906394396,20.19098712446352,5096000000.0,0.14704948780839705,0.7195707427280429,Solid,USD,USD,1.0,,0.006176060609136114,,0.1172938981761858,-0.019870503295648434,4297000000.0,2844000000.0,312000000.0,,^GSPC,,,1.0,1.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
ABBN.SW,2026-07-27T05:19:49.487724+00:00,35556000000.0,145181310976.0,4.083173331533356,4.015241562192769,4.237543913554125,4.37092532437094,41644257750.0,0.17123010884238954,3.4862264047916667,36157553344.490395,0.016918476332838273,-0.15431163250955127,0.10614658439944673,0.0,Forward Expectations Manageable,"⚠ Revenue reported in USD but priced in CHF, and no FX rate could be resolved -- P/S and margin figures for this ticker are UNRELIABLE, treat with caution. Needs 2% growth to look fairly valued by its own history; analysts expect 17% -- the bar is comfortably cleared if the forecast is anywhere close to right.",4.015241562192769,Historical Median Tactical Anchor,low,2,quarterly,0.40086061424232194,0.16931038362020476,0.1400326245921926,0.687038280725319,105.6140350877193,4159000000.0,0.11697041286983913,0.8353082948383209,Solid,USD,CHF,,"Revenue reported in USD but priced in CHF, and no FX rate could be resolved -- P/S and margin figures for this ticker are UNRELIABLE, treat with caution.",0.04101688440859852,,0.208535889357564,-0.008446808143657059,1317000000.0,4068000000.0,306000000.0,0.344103929325126,^SSMI,0.08122079282840144,0.26288313649672457,2.0,5.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
GEV,2026-07-27T05:19:49.487724+00:00,41367000000.0,270262009856.0,6.533275554330746,6.62077488326203,6.89366116761476,7.057392938226398,52498702310.0,0.26909619527642814,5.147975053938052,40820298925.92315,-0.01321587434614191,-0.28231206962257005,0.0,0.0,Forward Expectations Manageable,Already trades at or below its historical valuation norm (needs 0% growth) -- 27% forecast growth would be upside on top of an already-fair price.,6.62077488326203,Historical Median Tactical Anchor,low,2,quarterly,0.20214180385331304,0.04358546667633621,0.23035269659390337,-3.4362728785357737,,12438000000.0,0.3006744506490681,1.305278623150383,Solid,USD,USD,1.0,,0.08682326316822997,,0.39663049685893775,-0.005571909894025007,5406000000.0,409000000.0,3813000000.0,,^GSPC,,,1.0,0.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
ETN,2026-07-27T05:19:49.487724+00:00,28522000000.0,156900376576.0,5.50102996199425,4.717360845894316,4.809923612697408,4.865461272779264,35628454820.0,0.24915696024121736,4.403794028359718,33260202410.115795,0.16612447970394073,-0.08303248053727663,0.690819461358407,0.0,Forward Expectations Manageable,Needs 17% growth to look fairly valued by its own history; analysts expect 25% -- the bar is comfortably cleared if the forecast is anywhere close to right.,4.717360845894316,Historical Median Tactical Anchor,low,2,quarterly,0.3689082112053853,0.18164925320804992,0.13989201318280625,3.417644223043548,16.5,3776000000.0,0.13238903302713695,0.9463659147869674,Watch: high leverage,USD,USD,1.0,,0.09769979247934413,,0.14729047965229802,-0.008365410904862536,1247000000.0,1644000000.0,12585000000.0,,^GSPC,,,3.0,1.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
NVT,2026-07-27T05:19:49.487724+00:00,4325800000.0,24547545088.0,5.674683315918442,4.402784467739654,4.405359018095357,4.406903748308779,5782318790.0,0.3367050695825049,4.245277021123908,5575459182.221215,0.2888851038469682,-0.04781996573553671,0.8744688694279422,0.0,Forward Expectations Manageable,Needs 29% growth to look fairly valued by its own history; analysts expect 34% -- the bar is comfortably cleared if the forecast is anywhere close to right.,4.402784467739654,Historical Median Tactical Anchor,low,2,quarterly,0.37010495168523744,0.1577742845254057,0.11371307041472098,1.6488733318748632,9.087882822902797,381900000.0,0.08828424800036988,0.7763773124618825,Solid,USD,USD,1.0,,0.1926087246007977,,0.09262949086843608,-0.007348762570890122,256900000.0,131200000.0,979500000.0,,^GSPC,,,2.0,0.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
